#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","5963CF2D86078444425357FC80A60B6E687255CD79BC6C86C9530D293DC2C912","C:\Users\rgaines\Desktop\Backup.ps1"
"SHA256","4B9D687AC625690FD026ED4B236DAD1CAC90EF69E7AD256CC42766A065B50026","C:\Users\rgaines\Desktop\desktop.ini"
"SHA256","41B7091091E0887FB1C3587A541B7B7B5A69521AEE2427C76246CAEC4F48A503","C:\Users\rgaines\Desktop\HostDiscovery.ps1"
"SHA256","D4E1A42B905651F8BEE3C6F9ACCB3453100FDA47C23456CF838B6BAB5F508FA7","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16.7z"
"SHA256","F56C95F294D8DFD0952898B20F842C3178B8779279E27F359B7A74E7DCA296EB","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16.exe"
"SHA256","C2802A86BFBB37288F00D03425A60E0EFD60DB9ED113FF39C4E6DF0EFBA66A5D","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\Set-up.exe"
"SHA256","06518A271F5B5FB5D0BA4B00234D9964109FE122A9303D4765FBB3D157A824B8","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\deploy\install-en_GB.xml"
"SHA256","AAB0EF6FE6E432D7D2811B4F217291FBEC914DF3167BDE2ED8214B9CA7D1FEFB","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\deploy\install-en_US.xml"
"SHA256","628892B233770F3333A327B7E2520087F08AE15C98A45A171F1CB960FFDCF614","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\deploy\install-ja_JP.xml"
"SHA256","57A757A99B93308095D02C0EA3EAB5EED01119F3AD7337A2F4A8F5A9EFAE88A6","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\deploy\uninstall-en_GB.xml"
"SHA256","CAE3FD4EED8BD400AD1CF7AD85377FC6C357B7CFA7EFD050FB8D1FE6CED00A00","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\deploy\uninstall-en_US.xml"
"SHA256","A4CDDE01A9FA90AE7256CCF25CB9C03C6F14F46CC7E42EFBC13BDFB57F0E9188","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\deploy\uninstall-ja_JP.xml"
"SHA256","12FA7B208991D17C71A235E13CAB7D5F8C290588AB0EBD8D4483395CCE868043","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\install.sig"
"SHA256","5365DCFD06A6EF596C4013EA630272D1207FBFCD981C29E2B4C93C84FFF8FD9B","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\core\PDApp.pima"
"SHA256","242850F36AF92831A6E11AB4736F9E8373405049BDB336469CB5C4E86376012E","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\core\PDApp.pimx"
"SHA256","438E503C4B48D4CBEAF9057DFDC2729DA26B35B13E4682B77C1F62C09AE32F31","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\core\PDApp.sig"
"SHA256","39B8F5D419E72EBB7C619D3D1A0FB86EA07A91DADE2759873E5E576D9133A501","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\D6\D6.pima"
"SHA256","9B7D8D781EBEFFC43939250C393E71979C17D4A54F8B0C428B4EAADA1D64B298","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\D6\D6.pimx"
"SHA256","556AABE7CBEE8C4D569D889BA882C4A7D16EFFAA481AF02295A5A25447369062","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\D6\D6.sig"
"SHA256","9F6DCCF85111C601DD0D7594F8219A743BDFCE8A61B1BBA3C86D218D196E9BE0","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\DECore\DECore.pima"
"SHA256","90CD5A161E1C84D0AD82E9FA23ABCAF9965D647BEC7AB811C7B4309D1D6AF09F","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\DECore\DECore.pimx"
"SHA256","624AFE3A2D8092F5EA4B9D45CF26A1307DEBBE1FB060AE150C692D3D955DE799","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\DECore\DECore.sig"
"SHA256","9899F98BB301145C36A9FAFF3287A982D96B5CF0BC14DDA38B426EF0B0C7D240","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\DWA\DWA.pima"
"SHA256","4AC95A64D67F98CEF539E1D41A252F170BF5564091DA18E13FEE14C1834A8F02","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\DWA\DWA.pimx"
"SHA256","1E5D1FC41E3D9664DB15F03BF691101BDC734FD6B6CF6C0CBF5A7FB343C6BA61","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\DWA\DWA.sig"
"SHA256","335680A9879BB18D1207A5EC9A1074DF4666FD41D319A790DC544CBF7E2C0F04","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\LWA\LWA.pima"
"SHA256","E9C0C66C72DFC605A3D4DDECF952E86AB1DB21C4F3B2EEB8D5D96AFC5615A2DE","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\LWA\LWA.pimx"
"SHA256","20C7EB5DF137A2E69E9E5D9A6388AA15BCE665D0B490455F57A9742682AE3693","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\packages\LWA\LWA.sig"
